station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
MAWSON,-6760,6286,16,Stations operated by  Australia,52,27,120,ESE,2025112418
SHIP,5090,-30096,,,39,20,350,N,2025112418
SHIP,5430,19520,,,43,22,70,ENE,2025112418
SHIP,4460,27360,,,35,18,180,S,2025112418
SHIP,3200,15710,,,42,22,140,SE,2025112418
SHIP,1380,11200,,,60,31,20,NNE,2025112418
CHOPOK,4893,1958,2007,Slovakia,39,20,170,S,2025112418
IKERMIUARSSUK,6193,31794,41.61,Greenland,40,21,340,NNW,2025112418
MOURGASH,4283,2366,1692,Bulgaria,35,18,180,S,2025112418
DAVIS,-6856,7796,23.2,Stations operated by  Australia,34,17,40,NE,2025112418
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,63,32,200,SSW,2025112418
IM. E.K. FEDOROVA,7043,5908,12.21,Russian Federation,115,59,120,ESE,2025112415
IKERMIUARSSUK,6193,31794,41.61,Greenland,48,25,360,N,2025112415
MAWSON,-6760,6286,16,Stations operated by  Australia,58,30,110,ESE,2025112415
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,36,19,240,WSW,2025112415
TASTYP,5280,8990,449.87,Russian Federation,47,24,100,E,2025112415
SHIP,-3980,14530,,,35,18,90,E,2025112415
SHIP,-3890,14540,,,48,25,80,E,2025112415
DAVIS,-6856,7796,23.2,Stations operated by  Australia,41,21,40,NE,2025112415
SHIP,4660,-30816,,,39,20,330,NNW,2025112415
IKERMIUARSSUK,6193,31794,41.61,Greenland,46,24,360,N,2025112412
CHOPOK,4893,1958,2007,Slovakia,39,20,170,S,2025112412
ANGISSOQ,5998,31487,16.13,Greenland,36,19,90,E,2025112412
IKERASASSUAQ (PRINS CHRISTIAN SUND),6005,31685,74.75,Greenland,38,20,10,N,2025112412
BHARATI,-6940,7618,35,Stations operated by India,35,18,50,NE,2025112412
KHAMIS MUSHAIT,1828,4280,2056,Saudi Arabia,60,31,240,WSW,2025112412
SHIP,-3910,14630,,,45,23,90,E,2025112412
MAWSON,-6760,6286,16,Stations operated by  Australia,61,31,110,ESE,2025112412
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,34,17,190,S,2025112412
ZHONGSHAN,-6936,7636,18,Stations operated by China,36,19,70,ENE,2025112412
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,42,22,230,SW,2025112412
MITTARFIK NARSARSUAQ (4270-0),6116,31459,31,Greenland,48,25,70,ENE,2025112412
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,48,25,180,S,2025112412
MIRNYJ (89592-0),-6655,9300,44.67,Antarctica,41,21,90,E,2025112412
UDGIR,1806,7711,639,India,94,48,20,NNE,2025112412
PALAYANKOTTAI,873,7775,50.9,India,52,27,320,NW,2025112412
DAVIS,-6856,7796,23.2,Stations operated by  Australia,49,25,30,NNE,2025112412
HAVERI,1478,7540,564,India,78,40,20,NNE,2025112412
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,34,17,200,SSW,2025112409
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,39,20,240,WSW,2025112409
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,50,26,180,S,2025112409
MITTARFIK NARSARSUAQ (4270-0),6116,31459,31,Greenland,38,20,60,ENE,2025112409
DAVIS,-6856,7796,23.2,Stations operated by  Australia,41,21,40,NE,2025112409
CHOPOK,4893,1958,2007,Slovakia,45,23,170,S,2025112409
IKERMIUARSSUK,6193,31794,41.61,Greenland,39,20,350,N,2025112409
IKERASASSUAQ (PRINS CHRISTIAN SUND),6005,31685,74.75,Greenland,40,21,10,N,2025112409
MAWSON,-6760,6286,16,Stations operated by  Australia,49,25,110,ESE,2025112409
SHALATIN,2311,3558,21.44,Egypt,82,42,10,N,2025112409
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,40,21,230,SW,2025112406
MAWSON,-6760,6286,16,Stations operated by  Australia,57,29,120,ESE,2025112406
CHOPOK,4893,1958,2007,Slovakia,35,18,180,S,2025112406
SHIP,-250,16700,,,79,41,50,NE,2025112406
ANGISSOQ,5998,31487,16.13,Greenland,39,20,80,E,2025112406
PRIESTLEY GLACIER,-7363,16063,1925,Stations operated by Italy,231,119,300,WNW,2025112406
IKERASASSUAQ (PRINS CHRISTIAN SUND),6005,31685,74.75,Greenland,41,21,20,NNE,2025112406
DAVIS,-6856,7796,23.2,Stations operated by  Australia,34,17,60,ENE,2025112406
QAQORTOQ (JULIANEHAAB),6070,31397,57.4,Greenland,35,18,100,E,2025112406
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,38,20,200,SSW,2025112406
SHIP,5010,-30146,,,36,19,290,WNW,2025112406
CAPE PHILLIPS,-7351,16973,569,Stations operated by Italy,39,20,240,WSW,2025112406
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,52,27,180,S,2025112406
MITTARFIK NARSARSUAQ (4270-0),6116,31459,31,Greenland,39,20,60,ENE,2025112406
SHIP,1050,11000,,,58,30,30,NNE,2025112406
SHIP,4280,-30546,,,40,21,250,WSW,2025112403
TURKMENABAT,3908,6360,190,Turkmenistan,185,95,190,S,2025112403
ERINPURA /JAWAI DAM SITE,2508,7308,295,India,36,19,10,N,2025112403
QAQORTOQ (JULIANEHAAB),6070,31397,57.4,Greenland,37,19,100,E,2025112403
SHIP,5160,18790,,,35,18,80,E,2025112403
SHIP,5010,-30146,,,35,18,290,WNW,2025112403
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,40,21,210,SSW,2025112403
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,68,35,190,S,2025112403
SHIP,5500,17520,,,35,18,90,E,2025112403
