station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
SHIP,4310,-30516,,,35,18,230,SW,2025112400
SHIP,5500,17520,,,35,18,90,E,2025112400
SHIP,5150,-30156,,,37,19,270,W,2025112400
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,56,29,180,S,2025112400
RUO'ERGAI,3358,10295,3441,China,35,18,340,NNW,2025112400
MAWSON,-6760,6286,16,Stations operated by  Australia,60,31,120,ESE,2025112400
RADUZHNYJ,6215,7731,68.82,Russian Federation,179,92,300,WNW,2025112400
GREAT WALL,-6221,30104,10,Stations operated by China,43,22,110,ESE,2025112400
MAN,738,-30287,340,Côte d'Ivoire,37,19,20,NNE,2025112400
SHIP,5160,18790,,,35,18,80,E,2025112400
SHIP,-210,31890,,,41,21,70,ENE,2025112400
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,39,20,230,SW,2025112400
HALVFARRYGGEN EP11,-7116,-30216,694,Stations operated by Netherlands,35,18,90,E,2025112400
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,42,22,200,SSW,2025112400
ANGISSOQ,5998,31487,16.13,Greenland,39,20,100,E,2025112400
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,37,19,90,E,2025112321
MAWSON,-6760,6286,16,Stations operated by  Australia,47,24,110,ESE,2025112321
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,35,18,230,SW,2025112321
SHIP,5160,18790,,,35,18,90,E,2025112321
SHIP,-190,31810,,,40,21,60,ENE,2025112321
S.A.N.A.E. AWS,-7166,-29819,817,Stations operated by South Africa,37,19,100,E,2025112321
SHIP,4670,31130,,,34,17,280,W,2025112321
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,40,21,200,SSW,2025112321
CENTRO MET. ANTARTICO PDTE. EDUARDO FREI,-6218,30104,48,Antarctica,39,20,100,E,2025112318
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,59,30,180,S,2025112318
NUNARSSUIT,6075,31155,32.6,Greenland,38,20,100,E,2025112318
BASE ARTURO PRAT,-6250,30032,5,Stations operated by Chile,38,20,100,E,2025112318
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,37,19,90,E,2025112318
SHIP,5160,18790,,,35,18,100,E,2025112318
SHIP,4700,27460,,,36,19,300,WNW,2025112318
WILKINS RUNWAY EAST,-6666,11151,754.7,Stations operated by  Australia,34,17,100,E,2025112318
GREAT WALL,-6221,30104,10,Stations operated by China,70,36,110,ESE,2025112318
SHIP,4670,31130,,,42,22,250,WSW,2025112318
SHIP,720,10800,,,49,25,50,NE,2025112318
SHIP,4800,31350,,,46,24,170,S,2025112318
SHIP,1810,11990,,,34,17,50,NE,2025112318
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,38,20,200,SSW,2025112318
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,47,24,170,S,2025112315
"BONAVISTA, NFLD",4866,30690,29.6,Canada,40,21,290,WNW,2025112315
BASE ARTURO PRAT,-6250,30032,5,Stations operated by Chile,39,20,100,E,2025112315
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,47,24,90,E,2025112315
SHIP,5500,17520,,,35,18,110,ESE,2025112315
SHIP,4650,31160,,,44,23,180,S,2025112315
SHIP,4670,31130,,,48,25,170,S,2025112315
SHIP,4540,-30386,,,35,18,260,W,2025112315
SHIP,5520,-30806,,,39,20,330,NNW,2025112315
SHIP,4840,31520,,,41,21,180,S,2025112315
BASE CARLINI,-6223,30135,11,Stations operated by Argentina,45,23,120,ESE,2025112315
MAKOKOU,56,1286,515,Gabon,60,31,340,NNW,2025112315
SHIP,5310,280,,,34,17,190,S,2025112312
SHIP,4000,19580,,,44,23,170,S,2025112312
SHIP,5480,18490,,,37,19,110,ESE,2025112312
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,50,26,90,E,2025112312
SHIP,5500,17520,,,35,18,110,ESE,2025112312
PETROPAVLOVSK,5305,15878,65,Russian Federation,97,50,20,NNE,2025112312
SHIP,4650,31160,,,35,18,170,S,2025112312
DURRES,4130,1945,12,Albania,46,24,180,S,2025112312
"SAGONA ISLAND, NFLD",4736,30422,0,Canada,52,27,330,NNW,2025112312
SHIP,4670,31130,,,40,21,160,SSE,2025112312
SOERASEN,-7135,-30537,574,Stations operated by Germany,36,19,80,E,2025112312
SHIP,4940,29410,,,39,20,320,NW,2025112312
SHIP,5320,440,,,35,18,170,S,2025112312
SHIP,4760,30040,,,40,21,170,S,2025112312
SHIP,5520,-30806,,,36,19,310,NW,2025112312
SHIP,2990,-31166,,,38,20,70,ENE,2025112312
SHIP,5460,580,,,39,20,200,SSW,2025112312
SHIP,4930,29540,,,38,20,330,NNW,2025112309
CAPE ROSS,-7670,16296,151,Stations operated by Italy,55921,28769,200,SSW,2025112309
SHIP,5520,-30806,,,35,18,320,NW,2025112309
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,48,25,90,E,2025112309
PETROPAVLOVSK,5305,15878,65,Russian Federation,59,30,20,NNE,2025112309
PALMER STATION,-6476,29592,8,Stations operated by America,37,19,70,ENE,2025112309
SHIP,5500,17520,,,37,19,110,ESE,2025112309
SHIP,4710,30050,,,43,22,160,SSE,2025112309
SOTO CANO AB,1436,27239,628,Honduras,60,31,160,SSE,2025112309
SHIP,5370,470,,,39,20,180,S,2025112306
SHIP,5470,18300,,,45,23,130,SE,2025112306
SHIP,3910,30230,,,38,20,210,SSW,2025112306
NUGGET POINT AWS,-4643,16980,131.1,New Zealand,36,19,210,SSW,2025112306
SHIP,5520,-30806,,,34,17,310,NW,2025112306
SHIP,4660,30050,,,35,18,170,S,2025112306
SHIP,3800,19100,,,43,22,170,S,2025112306
SHIP,1190,8790,,,53,27,200,SSW,2025112306
SHIP,3900,19300,,,43,22,170,S,2025112306
SHIP,5140,250,,,37,19,190,S,2025112306
SHIP,5520,780,,,39,20,220,SW,2025112306
SHIP,5500,650,,,35,18,210,SSW,2025112306
DONGSHA DAO,2067,11672,6,China,35,18,40,NE,2025112306
SHIP,4720,26990,,,36,19,300,WNW,2025112306
CAPE LEEUWIN,-3436,11513,14,Australia,35,18,270,W,2025112306
SHIP,5500,17520,,,37,19,110,ESE,2025112306
